Edgeless Edgeless 	EDG 	$175,783,440 	$2.14 	82,046,288 * 	$7,465,917 	0.28% 	-5.10% 	5.27%
Dentacoin Dentacoin 	DCN 	$172,663,780 	$0.000531 	325,190,215,376 * 	$624,391 	-0.66% 	-11.76% 	219.59%
Nexus Nexus 	NXS 	$162,924,118 	$2.98 	54,717,496 	$711,662 	0.33% 	-3.62% 	-10.60%
BitBay BitBay 	BAY 	$161,915,712 	$0.160522 	1,008,679,265 * 	$5,260,294 	0.14% 	-2.80% 	-27.11%
Einsteinium Einsteinium 	EMC2 	$157,091,760 	$0.726513 	216,227,055 	$5,031,037 	-0.07% 	-7.68% 	-24.46%
XTRABYTES XTRABYTES 	XBY 	$155,539,592 	$0.361720 	430,000,000 * 	$3,359,423 	-0.79% 	3.39% 	43.81%
ZenCash ZenCash 	ZEN 	$154,569,628 	$53.40 	2,894,459 	$11,568,180 	-0.29% 	21.41% 	19.48%
Red Pulse Red Pulse 	RPX 	$149,972,689 	$0.276016 	543,348,500 * 	$2,331,762 	2.26% 	1.20% 	89.46%
ZClassic ZClassic 	ZCL 	$149,372,228 	$82.54 	1,809,800 	$28,171,759 	0.19% 	1.81% 	926.90%
BridgeCoin BridgeCoin 	BCO 	$148,081,218 	$5.48 	27,000,000 	$461,996 	3.02% 	17.42% 	394.84%
Time New Bank Time New Bank 	TNB 	$146,590,010 	$0.091570 	1,600,849,393 * 	$39,054,077 	1.27% 	10.27% 	2.03%
AdEx AdEx 	ADX 	$146,556,193 	$2.43 	60,248,315 * 	$20,388,354 	0.30% 	0.09% 	34.20%
Revain Revain 	R 	$146,117,090 	$0.792177 	184,450,000 * 	$839,795 	0.73% 	-3.04% 	61.00%
CloakCoin CloakCoin 	CLOAK 	$145,611,435 	$28.81 	5,053,693 * 	$6,208,032 	-0.19% 	10.44% 	51.91%
Particl Particl 	PART 	$142,300,944 	$18.19 	7,823,797 * 	$3,930,147 	0.43% 	-25.56% 	15.59%
DigitalNote DigitalNote 	XDN 	$140,083,743 	$0.020344 	6,885,695,758 	$10,713,159 	0.42% 	6.17% 	-11.58%
PayPie PayPie 	PPP 	$139,074,227 	$1.69 	82,500,000 * 	$256,394 	-0.58% 	1.63% 	8.42%
Rise Rise 	RISE 	$139,023,478 	$1.23 	113,139,200 * 	$9,625,162 	-0.29% 	-3.95% 	83.26%
Metal Metal 	MTL 	$134,292,929 	$6.96 	19,300,994 * 	$7,143,693 	0.11% 	-3.75% 	-12.54%
Storm Storm 	STORM 	$130,187,432 	$0.053653 	2,426,486,686 * 	$1,412,832 	3.81% 	16.05% 	125.55%
Centra Centra 	CTR 	$128,227,818 	$1.89 	68,000,000 * 	$6,001,577 	0.51% 	-5.22% 	-38.64%
SingularDTV SingularDTV 	SNGLS 	$127,500,657 	$0.212501 	600,000,000 * 	$3,559,936 	1.03% 	17.20% 	21.85%
Emercoin Emercoin 	EMC 	$126,623,813 	$3.08 	41,110,590 	$2,633,196 	0.27% 	6.44% 	13.59%
SONM SONM 	SNM 	$126,434,201 	$0.351597 	359,600,000 * 	$6,001,592 	-0.23% 	1.67% 	-13.14%
HempCoin HempCoin 	THC 	$126,258,566 	$0.548933 	230,007,393 	$10,317,917 	2.52% 	16.88% 	55.37%
Enjin Coin Enjin Coin 	ENJ 	$124,363,340 	$0.164460 	756,192,535 * 	$9,347,119 	1.06% 	7.83% 	2.79%
Modum Modum 	MOD 	$121,757,817 	$6.67 	18,266,200 * 	$29,848,440 	2.37% 	82.16% 	166.13%
Cindicator Cindicator 	CND 	$119,080,705 	$0.082353 	1,445,976,590 * 	$44,360,585 	-0.24% 	17.61% 	74.13%
SuperNET SuperNET 	UNITY 	$118,794,376 	$145.57 	816,061 * 	$18,406 	1.83% 	58.92% 	42.47%
Voxels Voxels 	VOX 	$117,233,765 	$0.558256 	210,000,000 * 	$18,526,670 	0.03% 	-5.68% 	74.86%
Streamr DATAcoin Streamr DATAcoin 	DATA 	$116,784,270 	$0.172463 	677,154,514 * 	$6,265,844 	0.57% 	-3.76% 	-15.10%
Agoras Tokens Agoras Tokens 	AGRS 	$115,950,990 	$2.76 	42,000,000 * 	$2,678,735 	0.46% 	-15.13% 	9.01%
Shift Shift 	SHIFT 	$114,784,100 	$9.93 	11,563,287 * 	$5,649,096 	1.15% 	7.88% 	64.12%
Loopring Loopring 	LRC 	$113,867,062 	$0.397899 	286,170,756 * 	$7,719,379 	1.65% 	6.20% 	28.42%
Aragon Aragon 	ANT 	$110,768,464 	$3.43 	32,252,180 * 	$1,312,135 	0.36% 	0.35% 	10.48%
