FlorinCoin FlorinCoin 	FLO 	$371,018 	$0.002987 	124,197,561 	$1,640 	0.21% 	2.91% 	3.61%
Arcade Token Arcade Token 	ARC 	$369,722 	$0.046208 	8,001,334 * 	$69 	0.69% 	-6.25% 	13.23%
PIVX PIVX 	PIVX 	$364,724 	$0.007282 	50,085,243 * 	$1,086 	-0.32% 	2.36% 	2.15%
Joincoin Joincoin 	J 	$363,718 	$0.148553 	2,448,402 	$562 	0.10% 	3.18% 	14.39%
ZcCoin ZcCoin 	ZCC 	$359,079 	$0.005824 	61,657,044 	$2,090 	0.10% 	-0.67% 	-3.99%
Bela Bela 	BELA 	$359,054 	$0.012033 	29,838,436 	$1,453 	0.02% 	1.44% 	3.85%
Gambit Gambit 	GAM 	$357,939 	$0.266001 	1,345,629 * 	$85 	-0.52% 	-5.38% 	-6.47%
ZCoin ZCoin 	XZC 	$333,813 	$0.476910 	699,950 	$7,730 	0.15% 	-9.47% 	4.72%
GoldBlocks GoldBlocks 	GB 	$333,806 	$0.024549 	13,597,484 	$1,716 	-0.89% 	-8.08% 	-23.44%
Safe Exchange Coin Safe Exchange... 	SAFEX 	$330,259 	$0.000154 	2,147,483,647 * 	$54 	-0.01% 	-2.09% 	-2.60%
Unobtanium Unobtanium 	UNO 	$326,715 	$1.65 	197,559 	$473 	0.35% 	0.23% 	13.55%
Voxels Voxels 	VOX 	$323,329 	$0.010264 	31,500,000 * 	$7,610 	-0.10% 	3.55% 	9.87%
vTorrent vTorrent 	VTR 	$313,715 	$0.029005 	10,815,966 	$1,035 	-0.71% 	16.84% 	29.75%
HitCoin HitCoin 	HTC 	$308,206 	$0.000028 	10,996,318,099 	$127 	-0.13% 	-1.94% 	-5.28%
EuropeCoin EuropeCoin 	ERC 	$303,570 	$0.031253 	9,713,434 	$196 	-0.04% 	4.72% 	6.18%
Zeitcoin Zeitcoin 	ZEIT 	$283,166 	$0.000008 	35,934,862,641 	$12 	-0.30% 	9.87% 	-2.01%
Riecoin Riecoin 	RIC 	$271,882 	$0.009118 	29,818,998 	$959 	0.23% 	-6.34% 	-12.33%
Project Decorum Project Decorum 	PDC 	$269,228 	$0.005385 	50,000,000 * 	$512 	-1.29% 	-6.43% 	-20.09%
Bitmark Bitmark 	BTM 	$264,383 	$0.078669 	3,360,720 	$2,928 	0.38% 	11.68% 	5.91%
Ubiq Ubiq 	UBQ 	$254,361 	$0.069871 	3,640,455 	$729 	-0.29% 	2.39% 	14.96%
